figure_id,role,png,pdf,source_script,source_data,caption,article_section,generated_at,dpi
SURGUL-F1,reproducibility,figures\surgul_srgl_gate_architecture.png,figures\surgul_srgl_gate_architecture.pdf,scripts/generate_figures.py,scripts/generate_figures.py,SURgul/SRGL six-gate safety-governance architecture.,Conditional architecture evidence,2026-05-17T16:05:14,300
SURGUL-F2,reproducibility,figures\surgul_conservative_merging_lattice.png,figures\surgul_conservative_merging_lattice.pdf,scripts/generate_figures.py,scripts/generate_figures.py,Conservative merging lattice with abstention priority and max-risk escalation.,Conditional governance evidence,2026-05-17T16:05:14,300
